,user_id_hash,reg_date,sex_id,age,withdraw_date,purchaseid_hash,i_date,item_count,sm_area_eng,coupon_id_hash,capsule_eng,genre_eng,price_rate,catalog_price,discount_price,ken_eng,age_group,Total Spent
16,eb2e1864a5db99653a03b3052824b211,2012-01-09,f,39,,163776c175bfc7d6a96b122fc4c584d5,2012-01-09,1,"Shinjuku, Takadanobaba, Nakano, Kichijoji",f9bc49f6eb35223b236ea058ce3e9fce,Other,Other coupon,95,2000,100,Tokyo,Middle-Aged,100
17,eb2e1864a5db99653a03b3052824b211,2012-01-09,f,39,,6ee5fc18ed696053d2868716f5126ac5,2012-06-04,1,"Shinjuku, Takadanobaba, Nakano, Kichijoji",1fc2eeba0f67b2f227832aa515bc605d,Hair salon,Hair salon,71,26250,7490,Tokyo,Middle-Aged,7490
18,73011216a9731f575f857b08a891c9ee,2011-02-26,m,44,,04cc90006b2809fa5bdb2826687c6dff,2011-08-07,1,"Shinjuku, Takadanobaba, Nakano, Kichijoji",d2dfa73f8ab82d7298f75e24211dde11,Food,Food,50,2000,1000,Tokyo,Middle-Aged,1000
19,73011216a9731f575f857b08a891c9ee,2011-02-26,m,44,,20fd7bca3605200702d0d340f698beb6,2011-10-02,1,Yokohama,1670c7325e2200eb8a6c13538a878302,Food,Food,51,1430,690,Kanagawa,Middle-Aged,690
20,73011216a9731f575f857b08a891c9ee,2011-02-26,m,44,,1196d0505845e0ceb98c473596d74327,2011-10-29,1,"Shinjuku, Takadanobaba, Nakano, Kichijoji",b8b4f2789a6982c5e6130600f05f7d47,Food,Food,50,1030,515,Tokyo,Middle-Aged,515
21,73011216a9731f575f857b08a891c9ee,2011-02-26,m,44,,cca6a6b267f44fcf5f8cb590f884c9b2,2011-11-19,1,"Shibuya, Aoyama, Jiyugaoka",0b33f0b286fc19f2c70d4733b33c4811,Food,Food,51,920,450,Tokyo,Middle-Aged,450
22,73011216a9731f575f857b08a891c9ee,2011-02-26,m,44,,6b14bc5a716bf766a223749e71722467,2011-11-19,1,"Shibuya, Aoyama, Jiyugaoka",0b33f0b286fc19f2c70d4733b33c4811,Food,Food,51,920,450,Tokyo,Middle-Aged,450
23,73011216a9731f575f857b08a891c9ee,2011-02-26,m,44,,1d0dc575bda4f7caa48e8c83163a71f1,2012-03-20,4,Yokohama,c41286f8c7e75d338c79a4b5023a1013,Food,Food,50,2010,1000,Kanagawa,Middle-Aged,4000
24,73011216a9731f575f857b08a891c9ee,2011-02-26,m,44,,440463033606b59c889174342c3d0405,2012-04-03,10,"Kawasaki, Shonan, Hakone and, others",37266e06ac860389eb16a929b8b31503,Food,Food,50,5000,2500,Kanagawa,Middle-Aged,25000
25,73011216a9731f575f857b08a891c9ee,2011-02-26,m,44,,fc85f5470209f460403aad1092312716,2012-04-03,1,"Shinjuku, Takadanobaba, Nakano, Kichijoji",89b72c8e0e8272e05524b11d08c8a6fe,Other,Other coupon,100,1,0,Tokyo,Middle-Aged,0
26,73011216a9731f575f857b08a891c9ee,2011-02-26,m,44,,9be0108880cc2b3f85027884b0e025fb,2012-06-09,5,"Tachikawa, Machida, Hachioji, and others",55cdfad69d456147f8335e8147bfcb6b,Food,Food,50,5500,2750,Kanagawa,Middle-Aged,13750
27,73011216a9731f575f857b08a891c9ee,2011-02-26,m,44,,44f77d2422e77a7575c321400da6f864,2012-06-10,5,Yokohama,55cdfad69d456147f8335e8147bfcb6b,Food,Food,50,5500,2750,Kanagawa,Middle-Aged,13750
33,d4ba2736d241ea0366d77c15892ca8e6,2012-03-19,f,50,,4f7369da44b1972c1f5d5a502b8fdd89,2012-05-04,1,"Minami, and others",7571fa98b993c1c283f499ebc72b6637,Delivery service,Delivery service,81,5400,980,Osaka,Middle-Aged,980
34,4d389ff895f8edf9da95aa6e089d7105,2011-04-13,m,37,,5d59830376b0dae11e1f886dfd119eb5,2011-07-04,2,"Ebisu, Meguro, Shinagawa",6578b639bd819d53e2f01137232f8153,Food,Food,54,7182,3280,Tokyo,Middle-Aged,6560
35,4d389ff895f8edf9da95aa6e089d7105,2011-04-13,m,37,,9945bc19065cb591f39cb3f50b970209,2011-07-14,2,"Ginza, Shinbashi, Tokyo, Ueno",15e8005b9bd30bc1f6040af6c7a1d371,Food,Food,84,1290,199,Tokyo,Middle-Aged,398
36,4d389ff895f8edf9da95aa6e089d7105,2011-04-13,m,37,,243bbdad4bdeda60ce778d206e5b6a22,2011-08-08,3,Yokohama,6326b4e0198e11bd38d280b61975cc58,Food,Food,57,8300,3500,Kanagawa,Middle-Aged,10500
37,4d389ff895f8edf9da95aa6e089d7105,2011-04-13,m,37,,ce6acec81687cc28e7798649ce41a89a,2011-09-18,2,"Shibuya, Aoyama, Jiyugaoka",7740cfc0f04f4acaa832c48386cfb7a8,Food,Food,50,6050,3000,Tokyo,Middle-Aged,6000
38,4d389ff895f8edf9da95aa6e089d7105,2011-04-13,m,37,,130854316baa2e31b786c53abd55aec5,2011-09-26,2,"Ginza, Shinbashi, Tokyo, Ueno",b745a1c7696c0627a73290ec65a35eeb,Food,Food,52,6279,3000,Tokyo,Middle-Aged,6000
39,4d389ff895f8edf9da95aa6e089d7105,2011-04-13,m,37,,e18e45c8cbcf34663bc551b9c64d34ef,2011-09-26,2,"Ginza, Shinbashi, Tokyo, Ueno",b745a1c7696c0627a73290ec65a35eeb,Food,Food,52,6279,3000,Tokyo,Middle-Aged,6000
40,4d389ff895f8edf9da95aa6e089d7105,2011-04-13,m,37,,bcf7485a0d7edcb2c32d7b8567d8b164,2011-11-28,2,"Shibuya, Aoyama, Jiyugaoka",3e9a9c4df41b64bfabdf0d3b4d002bfe,Food,Food,51,6380,3100,Tokyo,Middle-Aged,6200
41,4d389ff895f8edf9da95aa6e089d7105,2011-04-13,m,37,,de64945ed7a8e24104af297b3b81a05c,2011-11-28,2,"Shinjuku, Takadanobaba, Nakano, Kichijoji",dd86318cd81ab61972d5a8646215f8cb,Food,Food,61,5180,1990,Tokyo,Middle-Aged,3980
42,4d389ff895f8edf9da95aa6e089d7105,2011-04-13,m,37,,eb147370a81409af89376fcc7ead48d9,2012-02-09,2,"Ginza, Shinbashi, Tokyo, Ueno",047d1f1b446434b9e2a4a949e1897866,Food,Food,65,6400,2200,Tokyo,Middle-Aged,4400
43,4d389ff895f8edf9da95aa6e089d7105,2011-04-13,m,37,,3f6488e9c87a80050d448033aebd043b,2012-02-23,2,"Akasaka, Roppongi, Azabu",a01c27bbb398b44373cfb01ce2c3fb96,Food,Food,51,7200,3480,Tokyo,Middle-Aged,6960
44,4d389ff895f8edf9da95aa6e089d7105,2011-04-13,m,37,,3b91a9bb36d6072581db7326a0c4c483,2012-02-24,2,"Ebisu, Meguro, Shinagawa",696cc018c951f9a3ce8906cca49cb732,Food,Food,51,6100,2980,Tokyo,Middle-Aged,5960
45,4d389ff895f8edf9da95aa6e089d7105,2011-04-13,m,37,,3ea86aaeebbc76aa4ecc301971901d34,2012-02-25,2,"Akasaka, Roppongi, Azabu",a01c27bbb398b44373cfb01ce2c3fb96,Food,Food,51,7200,3480,Tokyo,Middle-Aged,6960
46,4d389ff895f8edf9da95aa6e089d7105,2011-04-13,m,37,,1dcf84b5355b83c9790bf46f9b78b523,2012-04-27,1,"Ginza, Shinbashi, Tokyo, Ueno",7e8c1312efe20219fa963435cffb4c31,Gift card,Gift card,66,3000,1000,Tokyo,Middle-Aged,1000
47,cc39ab8a591d908f8f3b5cd1420c3319,2011-03-04,f,38,,6a9535b4e1d73077d4d72a26dd24efbd,2011-07-14,2,"Ginza, Shinbashi, Tokyo, Ueno",d40589c23fc3e218ca2fd00907b55026,Food,Food,50,1030,515,Tokyo,Middle-Aged,1030
