USER_ID_hash,REG_DATE,SEX_ID,AGE,WITHDRAW_DATE,PREF_NAME,PREF_NAME_ENG
d9dca3cb44bab12ba313eaa681f663eb,3/28/12 14:14,f,25,NA,,No Prefecture Listed
560574a339f1b25e57b0221e486907ed,5/18/11 0:41,f,34,NA,東京都,Tokyo
e66ae91b978b3229f8fd858c80615b73,6/13/11 16:36,m,41,NA,愛知県,Aichi
43fc18f32eafb05713ec02935e2c2825,2/8/12 12:56,m,25,NA,,No Prefecture Listed
dc6df8aa860f8db0d710ce9d4839840f,5/22/11 23:43,m,62,NA,神奈川県,Kanagawa
f430e8302c1fd0915bce0c068ecb2f82,5/27/11 16:17,f,50,NA,広島県,Hiroshima
f3722c3232531440308e8017f28b8cdd,8/24/11 23:30,m,44,NA,埼玉県,Saitama
566c410a12848492cfd5d0e1019210a5,11/16/10 11:56,f,40,NA,愛知県,Aichi
409d495d62c15f6fdbdff3e302d6db20,1/1/12 0:56,m,47,NA,奈良県,Nara
72f88db98f71be3f53c8090a02febc77,12/27/11 15:30,m,31,NA,,No Prefecture Listed
1001a440695a0063f119a1ce9e4437f7,4/18/11 20:03,f,41,NA,石川県,Ishikawa
d75c1a44b151d66eaf2e70146adbccb4,5/22/11 1:43,f,31,NA,神奈川県,Kanagawa
70479ee8862d202936b82f61510a082d,11/16/10 12:01,m,48,NA,大阪府,Osaka
a96643bfe2d011d300de46b7ccf2ea86,9/13/11 9:58,m,32,NA,神奈川県,Kanagawa
f972d228e410ec346fe0d817e8dbd245,12/14/10 10:35,f,36,NA,熊本県,Kumamoto
28049e0d4cc904ac3a9b7635a0541960,12/9/10 19:06,m,54,NA,福岡県,Fukuoka
617b343271094ed99f3226c2535d0a11,2/28/11 16:11,m,34,1/26/12 11:54,北海道,Hokkaido
eb2e1864a5db99653a03b3052824b211,1/9/12 14:44,f,39,NA,東京都,Tokyo
80854ed829ef3f4e15f072884d8903c4,3/8/11 8:58,m,25,NA,広島県,Hiroshima
73011216a9731f575f857b08a891c9ee,2/26/11 16:46,m,44,NA,東京都,Tokyo
3891ee7b92e101899988f7570c78e5e4,10/11/11 22:00,m,45,1/9/12 7:31,神奈川県,Kanagawa
e7db4f0b345f5356350f38afb7ad80eb,5/26/11 22:02,m,27,NA,京都府,Kyoto
fcdaf922a55911ac516eead25ff6d1a6,11/10/11 17:33,m,54,NA,秋田県,Akita
04e6562edf3949102add432cbc6bd308,12/15/11 18:33,m,52,NA,,No Prefecture Listed
af2edb8e2266a47d135ddc4994e6875a,5/16/11 16:02,f,43,NA,,No Prefecture Listed
aed8e8e5752e6166b3d09fde79d815b3,5/8/11 7:40,m,76,NA,千葉県,Chiba
a9499d0a1ebdaec8c00393601f72c4fb,4/18/11 20:22,f,34,NA,東京都,Tokyo
a0590e7bb2c183cfe64db51cdb72fcb1,8/26/11 9:10,f,59,NA,愛知県,Aichi
da4efa651109206fb6ca51101ff3fe89,1/12/12 22:54,m,43,NA,,No Prefecture Listed
53d947bab765fdd817f10ba687556e45,7/14/11 21:59,f,50,NA,京都府,Kyoto
1233bd861dc34d19b54b0e95b0f472e1,5/26/11 17:11,m,26,NA,北海道,Hokkaido
70818f9ea244366ad1734dc3ac69a431,9/5/11 18:22,f,40,NA,,No Prefecture Listed
54e989375f421d1c92492a51c74692b6,3/31/12 17:54,f,28,NA,,No Prefecture Listed
f55c2f67be0321adcecc696ebe6aefd2,1/30/12 14:55,f,58,NA,千葉県,Chiba
e5bf38c6c6ffd9f84474471b71067b2b,11/28/11 18:45,m,55,NA,長崎県,Nagasaki
fd0dbf23941b2deff8527c744f86447e,2/25/12 13:32,f,46,NA,,No Prefecture Listed
ab0e0b8fb7e0e7e0ddf68275e9bba30c,12/24/11 1:21,f,52,NA,兵庫県,Hyogo
016d9e22f328423dc74eecd0d00a478a,8/10/11 11:49,m,77,NA,奈良県,Nara
f243e9cafe5464014facff10eb36ae8e,12/22/11 16:25,f,51,NA,,No Prefecture Listed
b44022668b6f47e2b5b7de0381d6034e,2/27/12 16:43,f,31,NA,,No Prefecture Listed
a72fa4c3b3ca15689f7f93b508ca5d5b,11/11/10 22:49,m,33,NA,愛知県,Aichi
4ba62cde70474e4dbade78526c2570d2,5/23/11 19:30,f,45,NA,愛知県,Aichi
1e84c80cd9dbd64e35b4de9b6bb1b996,2/15/11 23:54,m,34,NA,東京都,Tokyo
85ec12a3c1d57c30284786f4528bd905,8/26/11 1:49,f,27,NA,兵庫県,Hyogo
e1d47e165da4ca1b375c086dc75fc92a,7/6/11 8:05,m,68,NA,福岡県,Fukuoka
6715006367dd45a29485b187d94c7530,7/15/11 15:03,m,42,NA,埼玉県,Saitama
33169dce4386f3c08f10075e24bc5666,11/7/10 3:56,f,41,NA,奈良県,Nara
42ac1225928a58b0b48dc2f02ee75378,8/21/11 23:41,m,52,NA,,No Prefecture Listed
